year,month,entity id,entity name,plant producer type,plant name,plant state,plant id,generator id,net summer capacity (mw),technology,energy source code,prime mover code,status,status_simple,date
2020,3,63187,Rush Springs Energy Storage,IPP,Rush Springs Energy Storage (BA),OK,63458,RUSHE,10,Batteries,MWH,BA,operation,operation,2020-03
2020,7,63512,"Gateway Energy Storage, LLC",IPP,Gateway Energy Storage System,CA,63834,GTWAY,250,Batteries,MWH,BA,operation,operation,2020-07
2020,8,20323,"Wellhead Energy, LLC",IPP,Stanton Energy Reliability Center Hybrid,CA,60698,BESS1,10,Batteries,MWH,BA,operation,operation,2020-08
2020,8,20323,"Wellhead Energy, LLC",IPP,Stanton Energy Reliability Center Hybrid,CA,60698,BESS2,10,Batteries,MWH,BA,operation,operation,2020-08
2020,12,63731,Desert Harvest II LLC,IPP,Desert Harvest II LLC,CA,64103,DH003,35,Batteries,MWH,BA,(T) Regulatory approvals received. Not under construction,planning,2020-12
2020,12,54802,Dynegy -Moss Landing LLC,IPP,Dynegy Moss Landing Power Plant Hybrid,CA,260,BAT1,300,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2020-12
2020,12,61522,"Viridity Energy Solutions, Inc.",IPP,Vallecito,CA,62801,ORN34,10,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2020-12
2021,1,62160,"AES ES Alamitos, LLC",IPP,"AES ES ALAMITOS, LLC",CA,61204,ALMTS,100,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2021-01
2021,1,62763,"Hecate Grid, LLC",IPP,Hecate Energy Johanna Facility,CA,62889,HEGJF,20,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-01
2021,1,63522,Santa Ana Storage 1,IPP,"Johanna Energy Center, LLC",CA,63843,SASP1,20,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2021-01
2021,2,59843,"Blythe Solar II, LLC",IPP,"Blythe Solar II, LLC",CA,60092,BLST2,115,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-02
2021,3,61978,Convergent Energy and Power LP,IPP,Henrietta D Energy Storage LLC,CA,60641,HDES1,10,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-03
2021,3,59497,Eversource,IPP,Outer Cape Community Battery,MA,62604,OCESS,25,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-03
2021,3,16609,San Diego Gas & Electric Co,Electric Utility,Top Gun Energy Storage,CA,61366,TGES,30,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2021-03
2021,3,63424,"Silverstrand Grid, LLC",IPP,Silverstrand Grid Energy Storage System,CA,63735,SLV01,11,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-03
2021,4,61012,AES Distributed Energy,IPP,"AES Kekaha Solar, LLC Hybrid",HI,63280,BESS,14,Batteries,MWH,BA,"(TS) Construction complete, but not yet in commercial operation",construction,2021-04
2021,4,63550,"Ventura Energy Storage, LLC",IPP,Saticoy,CA,63891,SATCY,100,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-04
2021,5,63012,"2W Permian Solar, LLC",IPP,2W Permian Solar Project Hybrid,TX,63255,2WPBA,40,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-05
2021,5,59844,"Blythe Solar III, LLC",IPP,"Blythe Solar III, LLC Hybrid",CA,60094,BLST3,115,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-05
2021,5,16609,San Diego Gas & Electric Co,Electric Utility,Fallbrook Energy Storage,CA,61365,FBES,40,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-05
2021,6,63600,"Cal Flats BESS, LLC",IPP,Cal Flats BESS,CA,63930,CF60,60,Batteries,MWH,BA,(T) Regulatory approvals received. Not under construction,planning,2021-06
2021,6,63611,Coso Battery Storage LLC,IPP,Coso Battery Storage,CA,63943,61730,60,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-06
2021,6,6455,"Duke Energy Florida, LLC",Electric Utility,Trenton,FL,63995,ES1,11,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-06
2021,6,62742,"ENEL BELLA ENERGY STORAGE, LLC",IPP,Goleta Grid Resiliency,CA,63736,BESS1,10,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-06
2021,6,63723,"Ignacio Grid, LLC",IPP,Ignacio Grid Energy Storage System,TX,64089,IGN01,100,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-06
2021,6,63549,"Lily Solar, LLC",IPP,Lily Solar Hybrid,TX,63892,LILYB,50,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-06
2021,6,15296,New York Power Authority,Electric Utility,Willis Battery Storage,NY,63238,WB1,20,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-06
2021,7,63430,"Astral Electricity, LLC",IPP,Chisholm Grid Energy Storage System,TX,63737,CHS01,100,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-07
2021,7,55983,Luminant Generation Company LLC,IPP,DeCordova Steam Electric Station,TX,8063,BESS,260,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-07
2021,7,63403,"Luna Storage, LLC",IPP,Luna Storage,CA,63685,LUNA,100,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-07
2021,7,58451,"McCoy Solar, LLC",IPP,McCoy Solar Energy Project Hybrid,CA,58462,MCST1,230,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-07
2021,7,14328,Pacific Gas & Electric Co.,Electric Utility,Elkhorn Battery Energy Storage System,CA,62564,ELKHO,182.5,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-07
2021,8,63571,"Azure Sky Solar Project, LLC",IPP,Azure Sky Solar,TX,63905,ASKYB,77,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-08
2021,8,61684,"Diablo Energy Storage, LLC",IPP,Diablo Energy Storage,CA,62175,DIBLO,250,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-08
2021,8,62936,TREX US Red Holly LLC,IPP,TREX US Red Holly,TX,63202,701-S,50,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-08
2021,9,61944,GSRP,IPP,Chevron - Lost Hills Hybrid,CA,63545,BESS1,10,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-09
2021,9,19558,Homer Electric Assn Inc,Electric Utility,Soldotna,AK,57206,3,46.5,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-09
2021,9,63420,"Taos Mesa Energy Facility, LLC",IPP,Taos Mesa Energy Facility Hybrid,NM,63728,BESS,12,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-09
2021,10,62780,RE Slate LLC,IPP,Slate Hybrid,CA,63727,SLBES,300,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-10
2021,11,63414,"Cool Springs Solar, LLC",IPP,Cool Springs Solar (Hybrid),GA,63721,CSBAT,40,Batteries,MWH,BA,(T) Regulatory approvals received. Not under construction,planning,2021-11
2021,11,6452,Florida Power & Light Co,Electric Utility,Manatee Solar Energy Center,FL,60014,BMS,409,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-11
2021,11,63289,Key Capture Energy,IPP,NY2 Battery,NY,63584,NY2,200,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-11
2021,11,56215,RWE Renewables Americas LLC,IPP,Hickory Park Solar Hybrid,GA,63522,HPBAT,40,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-11
2021,11,60387,"Townsite Solar, LLC",IPP,Townsite Solar Project Hybrid,NV,60654,GEN02,90,Batteries,MWH,BA,(T) Regulatory approvals received. Not under construction,planning,2021-11
2021,12,803,Arizona Public Service Co,Electric Utility,Cotton Center Solar Hybrid,AZ,57561,CC17M,17,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,803,Arizona Public Service Co,Electric Utility,Desert Star Hybrid,AZ,62965,DS10M,10,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,803,Arizona Public Service Co,Electric Utility,El Sol BESS,AZ,62964,EL50M,50,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,803,Arizona Public Service Co,Electric Utility,Foothills Solar Plant Hybrid,AZ,57997,FH38M,38,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,803,Arizona Public Service Co,Electric Utility,Gila Bend Hybrid,AZ,59020,GB36M,36,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,803,Arizona Public Service Co,Electric Utility,Hyder II Hybrid,AZ,58383,H214M,14,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,803,Arizona Public Service Co,Electric Utility,Hyder Solar Hybrid,AZ,57563,H116M,16,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,803,Arizona Public Service Co,Electric Utility,Paloma Solar Hybrid,AZ,57562,PA17M,17,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,63553,Haymaker Energy Project LLC,IPP,Haymaker Hybrid,MT,63878,HBESS,200,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,63552,Key Capture Energy,IPP,TX17 Nickel Prairie Storage,TX,63880,TX17,100,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,63451,"Madero Grid, LLC",IPP,Madero Grid,TX,63757,MAD01,200,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-12
2021,12,63733,"Maverick Solar 6, LLC",IPP,"Maverick Solar 6, LLC",CA,64105,MAV04,50,Batteries,MWH,BA,(T) Regulatory approvals received. Not under construction,planning,2021-12
2021,12,14328,Pacific Gas & Electric Co.,Electric Utility,Llagas Energy Storage,CA,63529,LLAGS,20,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-12
2021,12,62109,"Searcy Solar, LLC",IPP,Searcy Solar Hybrid,AR,62617,SEABT,10,Batteries,MWH,BA,"(P) Planned for installation, but regulatory approvals not initiated",planning,2021-12
2021,12,62668,"Wheatridge Wind Energy, LLC",IPP,Wheatridge Hybrid,OR,62745,BTRY,30,Batteries,MWH,BA,(L) Regulatory approvals pending. Not under construction,planning,2021-12
